Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,YouTube Embed Link,Verification Status
Toy Story 2,"Animation, Adventure, Comedy, Family",1999-11-24,Pixar Animation Studios,100,N/A,A plastic hero rediscovers his legendary origins while his friends embark on a hazardous journey across a suburban landscape.,🧸🤠🦖👨‍🚀📦🖼️🛫🌵🐎🚀,"When a cowboy is stolen by an obsessive collector, his space-faring friend leads a rescue mission while the captive faces a life-changing decision about his own legacy.",https://www.youtube.com/embed/xNWSGRD5CzU,verified
A Night to Remember,"Action, Drama, History",1958-07-03,The Rank Organisation,100,N/A,"An unsinkable ambition meets the silent, frozen titan of the deep under a star-filled sky.",🚢🧊🌊🎻🎩📉🆘🕯️🇬🇧🌌,"The definitive cinematic account of the RMS Titanic's final night, based on Walter Lord's book, told from the perspective of passengers and crew.",https://www.youtube.com/embed/dPAqttGXFaU,verified
The Philadelphia Story,"Comedy, Romance",1940-12-26,Metro-Goldwyn-Mayer,100,N/A,"A high-society weekend of nuptial chaos hinges on whether a fiery debutante will choose the past, the present, or a charming interloper.",🥂💍🤵🏻‍♂️🤵🏼‍♂️👰🏼‍♀️✨🗞️🍸🏛️🎭,A wealthy socialite's upcoming wedding is thrown into turmoil when her ex-husband and an inquisitive reporter arrive to cover the event.,https://www.youtube.com/embed/oCfuPPR7wnQ,verified
Kes,"Drama, Coming-of-Age",1969-11-20,Woodfall Film Productions,100,N/A,A captive spirit finds its only tether to the sky through the eyes of a neglected youth in a harsh industrial landscape.,🦅👦🏫🪶🧤🇬🇧☁️💔🏭⚽,Billy Casper is a bullied schoolboy in a bleak Yorkshire mining town who escapes his troubled home life and school by training a wild kestrel.,https://www.youtube.com/embed/BGcllKvfnYs,verified
The Adventures of Robin Hood,"Action, Adventure, Romance",1938-05-14,Warner Bros.,100,N/A,A rogue marksman in green leads a band of rebels to reclaim a kingdom from a greedy usurper while the rightful ruler is away.,🏹🌳🛡️💰👑🏇🍗🏰🍻⚔️,The quintessential swashbuckler film featuring a noble outlaw who steals from the rich to give to the poor in Technicolor glory.,https://www.youtube.com/embed/BpqR6Ca-LL8,verified
Laura,"Film-Noir, Mystery, Crime, Drama",1944-10-11,20th Century Fox,100,N/A,An investigator falls in love with a painted face only to discover the supposed victim is very much alive.,🕵️‍♂️🖼️🔦🕵️‍♀️🚬🍸🏙️🎻🖤🤫,"A police detective finds himself captivated by the portrait and reputation of a murdered advertising executive, leading to a shocking discovery that changes the nature of his investigation.",https://www.youtube.com/embed/Zbp8BGcF04g,verified
Tampopo,"Comedy, Food, Western",1985-11-23,Itami Productions,100,N/A,A roadside search for the ultimate culinary craft transforms into a series of sensual vignettes about human desire.,🍜🚛🍳🥚👒🍲🥢🏙️🍱👄,A pair of truck drivers stop at a run-down roadside ramen shop and decide to help the widowed owner transform it into the best establishment in town through rigorous training and secret recipes.,https://www.youtube.com/embed/0RtXSon0yMw,verified
My Man Godfrey,"Comedy, Romance",1936-09-06,Universal Pictures,100,N/A,A scavenger hunt leads a wealthy socialite to find a new sense of purpose in the most unlikely of city dumps.,🎩🏙️🥂🚮🧺🎭💸💎🗽🤵,"A ditzy socialite wins a scavenger hunt by finding a forgotten man at a city dump and hires him as her family's butler, unaware of his true pedigree.",https://www.youtube.com/embed/O8xoAtKjnqs,verified
The Big Heat,"Film-Noir, Crime, Thriller, Drama",1953-10-14,Columbia Pictures,100,N/A,A relentless quest for justice in a city soaked in shadow leads to a scalding confrontation that scars both the guilty and the innocent.,🚔☕️🥃🚬🔫💥⚖️💣👔🏙️,"After a colleague's suicide, a detective uncovers widespread corruption within the city's police force and a powerful crime syndicate.",https://www.youtube.com/embed/ze6S3zZdSlA,verified
Battleship Potemkin,"Drama, History, War",1925-12-24,Mosfilm,100,N/A,A cascading carriage signals the bloody start of a revolution on the waves.,🚢⚓️🌊💂‍♂️🔫👶🛒🩸🇷🇺🎥,A landmark of silent cinema that dramatizes a mutiny at sea and the subsequent massacre on a famous flight of steps.,https://www.youtube.com/embed/kS5kzTbNKjs,verified
Angels with Dirty Faces,"Crime, Drama, Film-Noir",1938-11-26,Warner Bros.,100,N/A,One man chooses the path of the collar while his brother in spirit walks the road to the electric chair.,🔫⛪️🏙️👦👦⚖️🎥🚬🖤🥊,"A childhood prank gone wrong splits two friends onto opposite sides of the law, leading to a final act of deceptive cowardice for the sake of the next generation.",https://www.youtube.com/embed/2FiBruBgsHg,verified
Still Walking,"Drama, Family",2008-06-28,Cinequanon,100,N/A,A day of shared meals and quiet walks reveals the enduring weight of a ghost that never truly left the family table.,🍱👣🌳🏡💨🕰️🌊🍶🥢💔,"Over the course of a single summer day, an elderly couple is visited by their grown children, who have gathered to commemorate the tragic accidental death of the eldest son fifteen years ago.",https://www.youtube.com/embed/9gPbHqmjhNU,verified
Sullivan's Travels,"Adventure, Comedy, Drama",1941-12-29,Paramount Pictures,100,N/A,A seeker of truth discovers that laughter is the only shield against the weight of a broken world.,🎬🚂🎩🥪👣🎞️🎭🙏🛤️🎥,"A director of lighthearted comedies sets out on a journey of self-discovery to document the plight of the common man, only to find the true value of humor.",https://www.youtube.com/embed/HUNHxGDLfIE,verified
"Goodbye, Mr. Chips","Drama, Romance",1939-05-15,Metro-Goldwyn-Mayer,100,N/A,A lifetime of quiet devotion is measured by the thousands of footsteps that passed through his classroom and the one heart that changed him forever.,🏫👨‍🏫🎓⏳🍂🇬🇧👓📜💔🕰️,"The moving chronicle of an earnest English schoolteacher whose stiff demeanor is transformed by a spirited woman, leading to a long legacy of influence over generations of students.",https://www.youtube.com/embed/J0I9Txtb9jQ,verified
Letter from an Unknown Woman,"Drama, Romance",1948-04-28,Universal Pictures,100,N/A,A lifetime of silent devotion is finally unveiled through ink and paper as a dying flame recounts a passion that was never truly shared.,💌🎹🎻🕯️🕰️❄️💔🥀🧥✉️,"In early 20th-century Vienna, a woman's lifelong unrequited obsession with a concert pianist is revealed through a letter she writes to him on her deathbed.",https://www.youtube.com/embed/lOtmlrHJfRU,verified
The Little Foxes,Drama,1941-08-21,Samuel Goldwyn Productions,100,N/A,A predatory family tears itself apart in a ruthless pursuit of southern industrial wealth.,🦊💰🍷🕯️🏚️🧬🗡️🎭🧥🥀,"In the post-Civil War South, a manipulative matriarch and her greedy brothers engage in a vicious struggle for control of the family business, leading to ultimate betrayal.",https://www.youtube.com/embed/d_Lfa4jyTCI,verified
The Roaring Twenties,"Crime, Drama, Film-Noir, Thriller",1939-10-23,Warner Bros.,100,N/A,Three comrades return from the trenches only to find their destinies shaped by illegal spirits and a crumbling empire.,🥃🔫🎩🚬🗽🎷📉⚖️🧥🌨️,An epic crime drama following three veterans from the battlefields of World War I to the prohibition-era underworld of New York City.,https://www.youtube.com/embed/-zrSKQg1mhU,verified
Trouble in Paradise,"Comedy, Romance, Crime",1932-10-21,Paramount Pictures,100,N/A,"When two elite swindlers cross paths in a city of lights, their shared craft leads to a high-stakes triangle where loyalty is as thin as a champagne flute.",💎🎩👠🍸🎭🇫🇷💰💋💼💍,"A suave thief and a pickpocket team up to rob a wealthy widow, but their plan hits a snag when one of them begins to develop genuine feelings for the target.",https://www.youtube.com/embed/CF_UbisPCFM,verified
Mary Poppins,"Musical, Fantasy, Comedy, Family",1964-08-27,Walt Disney Productions,100,N/A,A descent from the clouds brings a spoonful of wonder to a soot-covered city.,🌂👜🐧🪁🍬🎶🏰🎩☁️🇬🇧,A magical nanny visits a dysfunctional family in London and uses her unique lifestyle to improve the family's dynamic.,https://www.youtube.com/embed/YfkEQDPlb8g,verified
The Man from Earth,"Drama, Sci-Fi",2007-11-13,Falling Sky Entertainment,100,N/A,A simple farewell party shifts into an intellectual odyssey when a host claims his life has spanned the entirety of recorded history.,👴⏳🔥🏡🍷📖🤔❄️🏹🕯️,An impromptu goodbye party for a departing professor becomes an interrogation after he reveals a secret about his true age and origin.,https://www.youtube.com/embed/ASBKSUQ8wRw,verified
Frankenstein,"Horror, Sci-Fi",1931-11-21,Universal Pictures,100,N/A,Reanimated parts seek a place in a world that only knows how to fear what it has created.,🧟‍♂️⚡️🏰🧪💀🔥⛈️📽️🧤🕯️,"An obsessed scientist assembles a living being from exhumed body parts, only to face the tragic consequences of playing God.",https://www.youtube.com/embed/BN8K-4osNb0,verified
Great Expectations,"Drama, Romance",1946-12-16,Cineguild,100,N/A,A windfall from a mysterious source leads a commoner into a decaying manor where time has frozen for a jilted bride.,🏚️🕯️🕸️💰🤵🏻‍♂️🇬🇧🌫️💔🎂🏛️,"A humble orphan's life is transformed when a mysterious benefactor enables him to join the upper class, leading to a journey of love and self-discovery.",https://www.youtube.com/embed/HbSib00NgiI,verified
Stagecoach,"Western, Adventure, Drama",1939-03-02,United Artists,100,N/A,A disparate group journeys across a dangerous desert landscape while past sins and external threats collide within their moving wooden sanctuary.,🏜️🐎🌵🔫🥃🚞🌄🛡️👢🏜️,A group of travelers on a stagecoach find their journey complicated by personal secrets and the threat of an Apache uprising in the American West.,https://www.youtube.com/embed/OE-VWDsdkwM,verified
Shadow of a Doubt,"Crime, Film-Noir, Thriller",1943-01-12,Universal Pictures,100,N/A,A visitor's arrival in a quiet town gradually reveals that a charming smile can mask the coldest of hearts.,🕵️🔪💍🚂🤫🏠🎞️🚬🖤🎭,A young woman's admiration for her visiting namesake turns to terror as she uncovers clues linking him to a string of high-profile murders across the country.,https://www.youtube.com/embed/QAdjnumtmXs,verified
L'Atalante,"Drama, Romance",1934-09-14,Gaumont,100,N/A,Life drifts along a winding river where dreams and reality blur amidst the fog of new love and nautical isolation.,🚢🇫🇷🌊👰🤵🐈📻⚓️🌆🌫️,A newly married couple navigates the joys and challenges of life aboard a river barge alongside an eccentric crew member.,https://www.youtube.com/embed/vzTN0YnKmOs,verified
Red River,"Western, Adventure, Drama",1948-09-30,United Artists,100,N/A,A monumental journey across a lawless land pits an iron-willed patriarch against his defiant protege.,🤠🐄🏜️🐎🚣‍♂️🔥🌅🐂🔫🛤️,"A ruthless cattle baron leads a massive herd toward Missouri, but his tyrannical leadership during the arduous trek triggers a mutiny.",https://www.youtube.com/embed/ZxVCrIMPQXI,verified
"They Shoot Horses, Don't They?","Drama, History",1969-12-10,ABC Pictures,100,N/A,Desperate souls shuffle in circles for coins while the clock ticks down to a mercy kill.,💃🕺💔📉⌛🎪💀👟🎭🌧️,"During the Great Depression, a disparate group of contestants enters a grueling dance marathon in hopes of winning a cash prize.",https://www.youtube.com/embed/ke-sWMXspNA,verified
Vivre Sa Vie,Drama,1962-09-20,Les Films de la Pléiade,100,N/A,Twelve fragments observe a soul’s slow drift from silver screen dreams into the transactional shadows of the city.,🎥🚬🇫🇷👠💔📺📖💸📽️😢,"Divided into twelve distinct chapters, the film follows a young Parisian woman who abandons her family to seek a career in acting, only to succumb to the harsh realities of social and economic pressures.",https://www.youtube.com/embed/ZAZGR5O33jw,verified
The Ghost and Mrs. Muir,"Fantasy, Romance, Drama",1947-06-26,20th Century Fox,100,N/A,A lonely woman shares her seaside life with a sailor whose presence remains anchored long after his departure.,👻🌊⚓️🏠🌫️📜🕯️💖🕊️🌌,"A young widow moves into a seaside cottage that is haunted by the spirit of its former owner, a salty sea captain.",https://www.youtube.com/embed/n-X00-BoG9o,verified
Au hasard Balthazar,Drama,1966-05-25,Argos Films,100,N/A,A silent witness endures the heavy burden of human cruelty and grace through a lifetime of shifting hands.,🫏✝️🌾😢⛓️🕊️🥀🥖🛤️⛪,"A cinematic masterpiece tracing the parallel lives of a stoic beast of burden and a young woman, illustrating the spectrum of human morality.",https://www.youtube.com/embed/eL8MuxXB_Eg,verified
